Datum	Eröffnung	Schluss	Tageshoch	Tagestief	Volumen
30.07.2021	100,450	100,150	100,500	99,740	367.707
29.07.2021	100,900	100,900	101,050	100,200	173.451
28.07.2021	101,100	100,850	101,550	100,850	192.361
27.07.2021	101,700	101,300	101,950	99,300	269.056
26.07.2021	101,750	101,650	102,200	101,350	144.573
23.07.2021	100,800	102,000	102,150	100,600	209.451
22.07.2021	101,550	100,600	101,550	100,050	206.433
21.07.2021	101,500	101,500	101,800	101,200	136.830
20.07.2021	101,950	101,050	102,650	100,950	332.682
19.07.2021	101,950	101,800	102,450	101,350	212.604
16.07.2021	101,600	102,100	102,500	101,150	195.110
15.07.2021	101,900	101,750	102,500	101,450	251.237
14.07.2021	102,850	102,050	102,950	101,250	254.582
13.07.2021	102,900	102,950	103,000	102,100	206.845
12.07.2021	102,100	103,000	103,200	101,800	179.658
09.07.2021	102,150	102,150	102,500	101,450	286.888
08.07.2021	104,550	102,350	104,950	101,750	354.715
07.07.2021	103,800	104,600	105,000	103,800	335.114
06.07.2021	102,900	103,500	103,600	102,750	259.659
05.07.2021	102,750	102,800	102,950	102,000	124.165
02.07.2021	102,550	102,500	103,050	102,150	171.430
01.07.2021	102,150	101,950	102,300	101,400	189.915
30.06.2021	102,250	101,750	102,550	101,100	297.629
29.06.2021	102,700	102,300	103,400	102,200	226.094
28.06.2021	101,650	102,700	102,900	101,650	165.866
25.06.2021	101,550	101,950	102,050	100,850	178.457
24.06.2021	100,650	101,650	102,500	100,650	394.176
23.06.2021	101,950	100,450	102,100	100,450	319.450
22.06.2021	102,600	102,000	102,800	102,000	251.396
21.06.2021	103,350	102,400	103,700	102,400	296.240
18.06.2021	102,700	103,250	103,650	102,350	692.857
17.06.2021	102,700	102,650	102,700	101,250	249.670
16.06.2021	102,300	102,950	104,000	102,150	301.637
15.06.2021	100,700	101,150	101,450	100,650	176.021
14.06.2021	100,600	100,300	100,900	100,100	195.259
11.06.2021	100,450	100,500	100,850	100,000	131.380
10.06.2021	100,600	100,300	101,000	99,900	182.911
09.06.2021	100,900	100,500	100,900	100,100	205.266
08.06.2021	101,650	100,850	101,650	100,850	242.560
07.06.2021	100,500	101,550	101,950	100,400	255.741
04.06.2021	100,700	100,350	101,150	99,960	339.518
03.06.2021	99,320	99,280	99,380	98,860	184.141
02.06.2021	98,920	99,540	100,550	98,460	488.077
01.06.2021	97,000	96,820	97,280	96,380	156.412
31.05.2021	97,280	96,840	97,340	96,840	133.429
28.05.2021	96,880	97,300	97,780	96,440	246.457
27.05.2021	98,600	97,260	98,800	97,260	422.663
26.05.2021	98,640	98,680	99,180	98,640	181.860
25.05.2021	97,900	98,280	98,520	97,740	212.327
