Date,Open,High,Low,Close,Volume
06/08/2020,"110.60","110.60","110.60","110.60","623"
05/29/2020,"105.05","105.05","105.05","105.05","200"
05/20/2020,"102.08","102.08","102.08","102.08","1,262"
05/19/2020,"102.75","102.75","102.75","102.75","8"
05/18/2020,"102.79","102.79","102.75","102.75","515"
05/13/2020,"100.16","100.16","100.16","100.16","597"
05/12/2020,"102.06","102.06","102.06","102.06","147"
05/11/2020,"100.00","100.00","99.75","99.75","231"
05/08/2020,"101.95","101.95","101.95","101.95","268"
05/05/2020,"104.20","104.20","104.20","104.20","1"
04/30/2020,"104.20","104.20","104.20","104.20","104"
04/29/2020,"101.54","101.54","101.45","101.45","678"
04/17/2020,"103.00","103.00","103.00","103.00","173"
04/15/2020,"101.69","101.69","101.69","101.69","5,522"
04/14/2020,"103.16","103.16","103.16","103.16","136"
04/07/2020,"98.91","98.91","98.91","98.91","170"
04/06/2020,"93.90","93.90","93.90","93.90","123"
04/03/2020,"93.99","93.99","93.90","93.90","1,000"
04/02/2020,"94.75","94.75","94.75","94.75","336"
04/01/2020,"94.75","94.75","94.75","94.75","4,682"
03/31/2020,"98.69","98.69","98.69","98.69","400"
03/30/2020,"105.53","105.53","105.53","105.53","75"
03/27/2020,"105.53","105.53","105.53","105.53","79"
03/26/2020,"105.53","105.53","105.53","105.53","3,485"
03/25/2020,"95.77","95.77","95.77","95.77","126"
03/24/2020,"95.77","95.77","95.77","95.77","53"
03/19/2020,"95.77","95.77","95.77","95.77","174"
03/18/2020,"98.28","98.28","97.90","97.90","1,800"
03/17/2020,"89.10","89.10","89.10","89.10","184"
03/16/2020,"92.05","92.05","92.05","92.05","227"
03/13/2020,"92.05","92.05","92.05","92.05","2,730"
03/12/2020,"92.05","92.05","92.05","92.05","346"
03/11/2020,"111.80","111.80","111.80","111.80","15"
03/06/2020,"111.80","111.80","111.80","111.80","1"
03/05/2020,"111.80","111.80","111.80","111.80","287"
02/28/2020,"103.73","103.73","103.73","103.73","22,051"
02/26/2020,"107.40","107.40","107.40","107.40","166"
02/20/2020,"114.60","114.60","114.60","114.60","50"
02/19/2020,"114.40","114.60","114.40","114.60","365"
02/14/2020,"114.01","114.01","114.01","114.01","175"
02/12/2020,"115.40","115.40","115.40","115.40","51"
02/11/2020,"115.40","115.40","115.40","115.40","240"
01/22/2020,"116.10","116.10","116.10","116.10","295"
01/15/2020,"119.60","119.60","119.60","119.60","17"
01/14/2020,"119.60","119.60","119.60","119.60","1"
01/13/2020,"119.60","119.60","119.60","119.60","150"
01/08/2020,"118.56","118.56","118.56","118.56","175"
01/07/2020,"118.56","118.56","118.56","118.56","100"
01/02/2020,"119.30","119.30","119.30","119.30","30"
12/27/2019,"119.30","119.30","119.30","119.30","344"
12/23/2019,"117.90","117.90","117.90","117.90","200"
12/19/2019,"116.55","116.55","115.80","115.80","1,300"
12/18/2019,"115.53","115.53","115.53","115.53","1,093"
12/03/2019,"116.00","116.00","116.00","116.00","100"
12/02/2019,"114.88","114.88","114.88","114.88","188"
10/23/2019,"114.85","114.85","114.85","114.85","403"
10/16/2019,"118.25","118.25","118.25","118.25","425"
10/15/2019,"115.70","115.70","115.70","115.70","10,000"
10/14/2019,"115.70","115.70","115.70","115.70","100"
10/07/2019,"118.24","118.24","118.24","118.24","10"
09/20/2019,"118.24","118.24","118.24","118.24","1,030"
09/19/2019,"119.37","119.37","119.37","119.37","272"
09/13/2019,"120.61","120.61","120.61","120.61","210"
09/12/2019,"120.45","120.45","120.45","120.45","810"
08/26/2019,"122.78","122.78","122.78","122.78","15"
08/23/2019,"122.78","122.78","122.78","122.78","393"
08/12/2019,"121.60","121.60","121.15","121.15","350"
08/06/2019,"118.59","118.59","118.55","118.55","215"
07/05/2019,"119.54","119.54","119.50","119.50","648"
07/03/2019,"121.95","121.95","121.95","121.95","615"
06/24/2019,"119.84","119.84","119.84","119.84","505"
06/21/2019,"119.84","119.84","119.84","119.84","420"
06/20/2019,"119.84","119.84","119.84","119.84","250"
06/18/2019,"121.80","121.80","118.30","118.30","3,360"
06/12/2019,"119.00","119.00","119.00","119.00","425"
