Partners	Balance in value in 2019-Q3	Balance in value in 2019-Q4	Balance in value in 2020-Q1	Balance in value in 2020-Q2	Balance in value in 2020-Q3	Balance in value in 2020-Q4	Balance in value in 2021-Q1	Balance in value in 2021-Q2	Exported value in 2021-Q2	Imported value in 2021-Q2	
"Korea, Republic of"	1039837	1234991	1162799	1119264	1403964	1546144	1638841	1774541	1999593	225052	
"Japan"	759396	731338	643525	880273	1117999	1243948	1097275	1216367	1611953	395586	
"Switzerland"	205333	249428	331826	223764	253571	295882	206292	213140	365990	152850	
"Madagascar"	-618	-631	-561	-640	-565	-580	-649	-473	1	474	
"Barbados"	-638	-1092	-1042	-863	-1021	-1070	-750	-1108	89	1197	
"Iceland"	-2849	-1921	-2705	-2957	-3265	-4251	-4439	-5082	2454	7536	
"Georgia"	-7114	-8765	-7858	-6019	-7133	-9494	-9227	-9802	850	10652	
"Bahrain"	-14257	-12256	-10554	-8451	-8386	-10083	-11333	-10512	84	10596	
"Argentina"	-16097	-15354	-8795	-14171	-10211	-8099	-20192	-19473	7937	27410	
"Brazil"	-22539	-22011	-29159	-15526	-21823	-18018	-27992	-20652	24907	45559	
"New Zealand"	-37406	-43387	-26410	-18690	-35935	-49421	-37130	-38021	19025	57046	
"Norway"	-62275	-64785	-58554	-62731	-70529	-74076	-75480	-88816	12274	101090	
"Pakistan"	-2191	-2785	-1369	-1268							
"Paraguay"	-7547	-6497	-6382	-2878	-3730	-4294	-4002				
"Peru"	-28569	-27339	-23284	-11534	-20951	-24531					
"Philippines"	-37209	-40822	-34357	-21971	-27116	-22894					
"Poland"	187016	233357	261724	144079	259505	269280	291826				
"Portugal"	-52381	-58065	-58661	-32538	-41526	-43860	-45210				
"Romania"	-40697	-45266	-50392	-35961	-49302	-53676	-53285				
"Russian Federation"	-271212	-298595	-224505	-115625	-191424	-246170	-234235				
"Saint Lucia"	-546	-461									
"Saint Vincent and the Grenadines"	-163	-211	-135								
"Sao Tome and Principe"	-25	-31									
"Senegal"	11504	11487	13311	11287	12074	16199					
"Serbia"	-9127	-11205	-10957	-7125	-9557	-14519	-10571				
"Seychelles"	-473	-412	-379	-129	-255	-364	-307				
"India"	-12619	-14591									
"Singapore"	734171	849488	715387	771007	944273	918940	971076				
