Partners	Balance in value in 2019-M11	Balance in value in 2019-M12	Balance in value in 2020-M01	Balance in value in 2020-M02	Balance in value in 2020-M03	Balance in value in 2020-M04	Balance in value in 2020-M05	Balance in value in 2020-M06	Balance in value in 2020-M07	Balance in value in 2020-M08	Balance in value in 2020-M09	Balance in value in 2020-M10	Balance in value in 2020-M11	Balance in value in 2020-M12	Balance in value in 2021-M01	Balance in value in 2021-M02	Balance in value in 2021-M03	Balance in value in 2021-M04	Balance in value in 2021-M05	Balance in value in 2021-M06	Exported value in 2021-M06	Imported value in 2021-M06	
"Korea, Republic of"	409306	399531	296618	335875	530308	357110	385585	376569	399282	402946	601735	514998	546467	484680	556528	451942	630371	660939	587090	526512	600609	74097	
"Japan"	220802	253262	128788	236763	277975	305068	266648	308557	364777	391759	361462	462901	351588	429459	360525	321273	415477	405300	367009	444057	570180	126123	
"Switzerland"	81511	97548	113547	109369	108910	49280	64955	109529	123766	59988	69818	12971	197746	85166	72018	81889	52385	65340	55320	92479	143423	50944	
"Madagascar"	-251	-203	-195	-275	-92	-185	-65	-390	-174	-188	-203	-123	-143	-313	-247	-104	-298	-166	-222	-85	1	86	
"Barbados"	-383	-353	-451	-287	-303	-295	-283	-285	-421	-264	-336	-361	-296	-412	-95	-214	-441	-242	-443	-423	14	437	
"Iceland"	-949	-833	-365	-1281	-1059	-575	-573	-1809	-1165	-1018	-1083	-1128	-1438	-1686	-804	-1231	-2404	-1443	-1260	-2379	867	3246	
"Georgia"	-2791	-3770	-1374	-3438	-3046	-2458	-1302	-2259	-2910	-2160	-2063	-3347	-3333	-2813	-1408	-3545	-4276	-3667	-3231	-2904	188	3092	
"Bahrain"	-3389	-4693	-3603	-4082	-2869	-2378	-2734	-3339	-2191	-2705	-3490	-3242	-2624	-4217	-3713	-3343	-4277	-2774	-4118	-3619	44	3663	
"Argentina"	-3760	-7018	-4257	-961	-3577	-5658	-3397	-5115	-2777	-3419	-4014	-1328	-1489	-5282	-6331	-6303	-7558	-6258	-6894	-6320	2606	8926	
"Brazil"	-8325	-6765	-9680	-9182	-10298	-4336	-4647	-6543	-6830	-6283	-8710	-5366	-8270	-4383	-7338	-9676	-10978	-6537	-7470	-6645	8863	15508	
"New Zealand"	-14055	-13485	-11286	-8183	-6941	-3910	-6194	-8587	-12253	-11055	-12627	-15356	-17840	-16224	-13276	-12664	-11191	-14022	-12062	-11937	6515	18452	
"Norway"	-18027	-21164	-19143	-19843	-19569	-17052	-19654	-26026	-23170	-21275	-26086	-26987	-27539	-19549	-13211	-29039	-33229	-26915	-29049	-32851	3847	36698	
"Pakistan"	-1452	-398	-911	-289	-170	-455	-173	-639															
"Paraguay"	-2226	-2288	-3108	-1719	-1555	-1186	-668	-1023	-752	-1589	-1388	-1643	-1391	-1260	-1256	-866	-1881	-1258	-2072				
"Peru"	-9026	-6967	-8808	-8104	-6371	-4152	-4459	-2922	-6332	-5538	-9081	-8212	-8728	-7593									
"Philippines"	-13804	-11052	-14128	-11431	-8798	-4232	-8037	-9700	-9254	-9213	-8649	-7796	-7520	-7578									
"Poland"	70686	70957	83713	88082	89929	44253	49829	49996	72488	70148	116868	107074	90529	71677	106018	87076	98732	94021					
"Portugal"	-18338	-17898	-20565	-18127	-19968	-9833	-8854	-13851	-15165	-12057	-14304	-16035	-13401	-14424	-14654	-13592	-16963	-20122	-19071				
"Romania"	-15622	-12906	-15874	-18605	-15913	-10666	-10899	-14396	-15859	-13650	-19793	-22206	-16400	-15069	-14128	-18359	-20798	-19332					
"Russian Federation"	-96634	-96029	-55236	-92169	-77101	-41996	-30718	-42911	-58624	-63947	-68852	-74399	-86131	-85640	-64997	-81482	-87756	-91032	-76192				
"Saint Lucia"	-184	-115																					
"Saint Vincent and the Grenadines"	-51	-41	-40	-50	-44																		
"Sao Tome and Principe"	-15	-9																					
"Senegal"	3210	3654	5096	4414	3803	4185	2866	4236	3908	3627	4540	3709	6370	6119									
"Serbia"	-4216	-2943	-2760	-4006	-4191	-2319	-1743	-3063	-3170	-2618	-3769	-5070	-5401	-4049	-2351	-3947	-4272	-4838					
"Seychelles"	-152	-150	-127	-89	-163	-33	-53	-43	-107	-37	-112	-90	-118	-156	-83	-67	-157						
"India"	-2880	-2842																					
"Singapore"	332067	245006	303750	253145	158490	213251	257822	299935	275298	328030	340944	287603	354007	277331	330089	286444	354542	219035	268848				
"Slovakia"	-12938	-8616	-10905	-9428	-7967	-7538	-7512	-7626	-8920	-8416	-9319	-14217	-10957	-11602	-9320	-9427	-10831	-7983					
"Slovenia"	1632	-1710	323	-795	-2882	550	-409	-531	268	425	-336	-983	1487	595	-170	-380	-3192	-1610					
"South Africa"	182	5212	2079	8239	992	-4545	15845	17761	11428	10798	13752	14057	13914	10763	-523	7629	9212	8215	16065				
"Spain"	6194	-396	-15826	176	29080	25568	7639	17619	18358	1413	2138	13802	25705	23134	-4957	16159	42573	17504	34466				
"Eswatini"	-521	-508	-421	-444	-466	-207	-363	-412	-477	-578	-666	-489	-635	-594	-378	-467	-472	-466	-486				
"Sweden"	-19054	-21718	-18281	-8618	-10754	-10098	-9405	-3262	-13589	-12438	-15615	-21098	-17104	-25363	-16299	-8455	-7296	-6860					
"Indonesia"	-16875	-19109	-23786	-12831	-15408	-11764	-4811	-7741	-6729	-12178	-12979	-6105	-15202	-17728	-12456								
"Ireland"	-13518	-17227	-8843	-7770	-5022	-8141	-11654	-9387	-15621	-14391	-15725	-18668	-21176	-15053	-2441	-9940	-28058	-12239	-18089				
"Israel"	12024	11664																					
"Italy"	81364	115779	39854	48143	73272	49029	83689	80448	93524	66126	61239	64622	68936	93401	46763	67582	85886	90692					
