Exporters	Exported value in 2019-Q3	Exported value in 2019-Q4	Exported value in 2020-Q1	Exported value in 2020-Q2	Exported value in 2020-Q3	Exported value in 2020-Q4	Exported value in 2021-Q1	Exported value in 2021-Q2	
"Korea, Republic of"	1299260	1496734	1414947	1306636	1618224	1775626	1859250	1999593	
"Japan"	1170220	1116650	1006611	1196952	1461590	1609573	1459272	1611953	
"Switzerland"	314959	373900	456298	346174	385350	449622	362734	365990	
"Brazil"	28225	23237	20000	15609	20983	22040	19639	24907	
"New Zealand"	20067	20193	15323	13755	17924	19139	14605	19025	
"Norway"	4991	5921	6537	6071	7304	15946	17775	12274	
"Argentina"	16744	14575	12158	10476	16150	18004	7828	7937	
"Iceland"	2157	3080	2544	2090	3046	2718	2595	2454	
"Georgia"	236	289	98	179	434	480	449	850	
"Barbados"	266	3	7	33	4	16	225	89	
"Bahrain"	284	211	448	118	99	463	82	84	
"Madagascar"	4	14	3	48	2	2	1	1	
"Malawi"	36	3	0	0	68	10			
"Malaysia"	39890	38865	28227	22649	30989	38273	33284		
"Malta"	1214	560	471	556	667	705	1072		
"Mauritania"	0	0	0	0	0	0			
"Mauritius"	614	432	76	29	115	42	103		
"Taipei, Chinese"	129564	137711	110270	94915	94197	112205	100561		
"Morocco"	10233	11704	6950	4122	2680	5009			
"Mozambique"	3	1	7	0	7	1			
"Namibia"	218	90	103	98	119	168	253		
"Netherlands"	274665	298426	276838	261626	288942	322097	317614		
"Curaçao"	132	88	131	56	143	124			
"Aruba"	548	443	514	621					
"Indonesia"	30180	32710	32285	24143	23460	29984			
"Ireland"	51355	34593	37061	33831	32140	32847	29680		
"Israel"	64055	63648							
"Italy"	525827	596332	455279	398512	467706	504816	489371		
"Kyrgyzstan"	2286	2785	95	46	666	37	49		
"Latvia"	18528	18771	16974	16858	19048	17192	15754		
"Lithuania"	47181	52974	44808	25854	37256	54143	43501		
"Luxembourg"	24564	23444	21791	21386	19526	21482	16788		
"Macao, China"	0	8013	7821	354	2780	15447			
"Pakistan"	2045	4006	3711	1804					
"Paraguay"	192	89	137	177	155	261	311		
"Peru"	4326	3976	3621	2602	3837	3265			
"Philippines"	8964	6728	8234	3522	4962	6886			
