Exporters	Exported value in 2019-M11	Exported value in 2019-M12	Exported value in 2020-M01	Exported value in 2020-M02	Exported value in 2020-M03	Exported value in 2020-M04	Exported value in 2020-M05	Exported value in 2020-M06	Exported value in 2020-M07	Exported value in 2020-M08	Exported value in 2020-M09	Exported value in 2020-M10	Exported value in 2020-M11	Exported value in 2020-M12	Exported value in 2021-M01	Exported value in 2021-M02	Exported value in 2021-M03	Exported value in 2021-M04	Exported value in 2021-M05	Exported value in 2021-M06	
"Korea, Republic of"	491464	490758	383594	420814	610540	428436	439977	438223	471712	472219	674292	589360	622055	564212	629700	519940	709610	736331	662653	600609	
"Japan"	340843	386602	262465	343939	400208	418365	372729	405858	473954	494152	493484	579341	474174	556058	473350	439587	546335	549444	492329	570180	
"Switzerland"	123412	134984	155372	147817	153109	87330	104297	154547	165908	101222	118221	67407	249103	133113	121300	131937	109497	114917	107649	143423	
"Brazil"	6775	6646	7382	5195	7423	5580	4883	5146	6675	7268	7040	8299	6280	7460	4974	6745	7920	8016	8028	8863	
"New Zealand"	6571	6709	4050	5425	5848	4173	4491	5090	5054	6668	6203	7146	5281	6712	4436	4468	5701	4721	7790	6515	
"Norway"	1918	1217	1732	2216	2588	2152	1750	2169	2211	2129	2963	4614	2623	8710	11029	2387	4360	3042	5386	3847	
"Argentina"	4552	4520	3122	4784	4252	3111	3521	3844	5659	4883	5609	6950	6853	4201	2174	2615	3039	2370	2962	2606	
"Iceland"	787	757	1232	447	865	596	746	748	885	793	1368	1403	880	435	1080	842	673	692	895	867	
"Georgia"	126	70	5	84	9	29	103	47	115	92	227	72	247	161	240	49	159	224	438	188	
"Bahrain"	57	20	101	99	248	90	18	10	32	20	47	94	192	177	31	21	30	6	34	44	
"Barbados"	3	0	1	3	4	0	31	2	1	3	1	1	12	3	87	67	70	49	26	14	
"Madagascar"	2	1	0	0	3	0	48	0	0	1	1	1	2	0	0	1	0	0	0	1	
"Malawi"	3	0	0	0	0	0	0	0	10	19	38	10	0	0							
"Malaysia"	12838	12071	10943	8590	8694	5216	6765	10667	12285	8412	10292	13975	12023	12274	11166	8440	13677	9906	8352		
"Malta"	243	128	77	146	248	148	107	301	242	324	101	172	344	188	166	278	628	64			
"Mauritania"			0	0	0	0	0	0	0	0	0	0	0	0							
"Mauritius"	330	36	50	18	9	1	5	22	43	52	19	20	11	11	36	13	54				
"Taipei, Chinese"	37738	48664	36538	33365	40368	35402	30354	29159	29265	30570	34362	45790	34548	31866	38046	22085	40430	34257	39416		
"Morocco"	3993	3953	2737	2835	1377	1165	1495	1462	1056	651	973	1390	1873	1746							
"Mozambique"	0	1	7	0	0	0	0	0	0	7	0	0	1	0							
"Namibia"	38	11	39	22	42	7	46	45	35	55	28	94	37	37	11	24	217	39	8		
"Netherlands"	100991	89935	89205	89539	98095	82883	82073	96670	92451	86568	109923	111878	101191	109028	95475	96165	125974	106298			
"Curaçao"	45	16	34	67	30	18	15	23	75	39	29	17	83	24							
"Aruba"	93	113	48	384	81	20	220	381													
"Indonesia"	12165	8431	9405	10224	12656	8299	7941	7903	8482	7127	7851	11812	8878	9293	9153						
"Ireland"	16313	7646	10268	10422	16371	10819	8977	14035	11707	10566	9868	11626	12172	9049	9299	9592	10789	10935	11617		
"Israel"	22154	24588																			
"Italy"	181651	201607	149568	154572	151139	99276	146599	152637	169845	134789	163072	166118	160126	178572	142542	156271	190558	184466			
"Kyrgyzstan"	1010	764	37	52	6	0	4	42	589	0	77	4	0	32	33	0	15				
"Latvia"	6126	5656	6147	5071	5755	4466	5431	6962	6802	5822	6424	6541	4976	5675	5527	5158	5069	5661			
"Lithuania"	16792	14040	11121	16457	17230	8497	8257	9101	13409	12644	11204	19179	16651	18313	10748	13873	18880	15510	15106		
