Importers	Imported value in 2019-Q3	Imported value in 2019-Q4	Imported value in 2020-Q1	Imported value in 2020-Q2	Imported value in 2020-Q3	Imported value in 2020-Q4	Imported value in 2021-Q1	Imported value in 2021-Q2	
"Japan"	410824	385312	363086	316679	343591	365625	361997	395586	
"Korea, Republic of"	259423	261743	252148	187372	214260	229482	220409	225052	
"Switzerland"	109626	124472	124472	122410	131779	153740	156442	152850	
"Norway"	67266	70706	65091	68802	77833	90022	93255	101090	
"New Zealand"	57473	63580	41733	32445	53859	68560	51735	57046	
"Brazil"	50764	45248	49159	31135	42806	40058	47631	45559	
"Argentina"	32841	29929	20953	24647	26361	26103	28020	27410	
"Georgia"	7350	9054	7956	6198	7567	9974	9676	10652	
"Bahrain"	14541	12467	11002	8569	8485	10546	11415	10596	
"Iceland"	5006	5001	5249	5047	6311	6969	7034	7536	
"Barbados"	904	1095	1049	896	1025	1086	975	1197	
"Madagascar"	622	645	564	688	567	582	650	474	
"Malawi"	1162	1045	638	721	939	957			
"Malaysia"	118637	119044	101208	70762	85737	92401	84546		
"Maldives"	2482	2813	2405	933	1200				
"Malta"	4133	4606	3453	2243	4232	3380	3082		
"Mauritania"	324	516	270	231	294	422			
"Mauritius"	5760	5472	3412	2435	3122	5484	4058		
"Taipei, Chinese"	286860	242711	211520	169964	242310	228484	218088		
"Morocco"	25848	29050	26056	11645	23796	26511			
"Mozambique"	789	836	443	510	650	804			
"Namibia"	9063	9766	7343	5219	7601	9362	7345		
"Netherlands"	263941	282245	266746	224520	280340	316970	300066		
"Curaçao"	1629	1440	1547	1095	1418	1616			
"Aruba"	1563	1881	1629	663					
"Indonesia"	92912	89815	84310	48459	55346	69019			
"Ireland"	82751	95240	58696	63013	77877	87745	70118		
"Israel"	28153	35819							
"Italy"	265241	296092	294010	185346	246817	277858	289140		
"Kyrgyzstan"	3526	4209	4003	1960	2592	3907	3965		
"Latvia"	21799	22180	19804	16468	22119	20759	16427		
"Lithuania"	53961	63220	52514	32369	47013	63731	52383		
"Luxembourg"	19199	20404	18858	15684	17063	19937	20605		
"Macao, China"	181039	272181	149441	123352	859145	1039873			
"Pakistan"	4236	6791	5080	3072					
"Paraguay"	7739	6586	6519	3055	3885	4555	4313		
"Peru"	32895	31315	26905	14136	24788	27796			
"Philippines"	46173	47550	42591	25493	32078	29780			
"Poland"	244831	217694	236736	221454	280014	287890	254763		
"Portugal"	62471	71088	69096	46390	57259	60067	59572		
"Romania"	51432	57568	60063	43942	59942	66778	63527		
"Russian Federation"	318463	362974	301450	158314	244032	311568	293542		
"Saint Lucia"	593	507							
"Saint Vincent and the Grenadines"	164	211	137						
"Sao Tome and Principe"	25	31							
"Senegal"	1643	2035	1949	1439	1934	2023			
"Serbia"	15685	18167	17639	12881	16482	20989	17411		
"Seychelles"	473	412	379	129	255	364	307		
"India"	55026	58691							
"Singapore"	828106	864057	712734	649130	705818	829397	746077		
"Slovakia"	43757	51764	46237	37874	41929	52497	46525		
"Slovenia"	29364	29637	24756	23770	22940	27667	31376		
"South Africa"	59525	55698	46805	26507	36768	45725	44447		
"Spain"	279380	292846	300820	170325	245252	255770	270765		
