Importers	Imported value in 2019-M11	Imported value in 2019-M12	Imported value in 2020-M01	Imported value in 2020-M02	Imported value in 2020-M03	Imported value in 2020-M04	Imported value in 2020-M05	Imported value in 2020-M06	Imported value in 2020-M07	Imported value in 2020-M08	Imported value in 2020-M09	Imported value in 2020-M10	Imported value in 2020-M11	Imported value in 2020-M12	Imported value in 2021-M01	Imported value in 2021-M02	Imported value in 2021-M03	Imported value in 2021-M04	Imported value in 2021-M05	Imported value in 2021-M06	
"Japan"	120041	133340	133677	107176	122233	113297	106081	97301	109177	102393	132022	116440	122586	126599	112825	118314	130858	144144	125320	126123	
"Korea, Republic of"	82158	91227	86976	84939	80232	71326	54392	61654	72430	69273	72557	74362	75588	79532	73172	67998	79239	75392	75563	74097	
"Switzerland"	41901	37436	41825	38448	44199	38050	39342	45018	42142	41234	48403	54436	51357	47947	49282	50048	57112	49577	52329	50944	
"Norway"	19945	22381	20875	22059	22157	19204	21404	28195	25381	23404	29049	31601	30162	28259	24240	31426	37589	29957	34435	36698	
"New Zealand"	20626	20194	15336	13608	12789	8083	10685	13677	17307	17723	18830	22502	23121	22936	17712	17132	16892	18743	19852	18452	
"Brazil"	15100	13411	17062	14377	17721	9916	9530	11689	13505	13551	15750	13665	14550	11843	12312	16421	18898	14553	15498	15508	
"Argentina"	8312	11538	7379	5745	7829	8769	6918	8959	8436	8302	9623	8278	8342	9483	8505	8918	10597	8628	9856	8926	
"Bahrain"	3446	4713	3704	4181	3117	2468	2752	3349	2223	2725	3537	3336	2816	4394	3744	3364	4307	2780	4152	3663	
"Iceland"	1736	1590	1597	1728	1924	1171	1319	2557	2050	1811	2451	2531	2318	2121	1884	2073	3077	2135	2155	3246	
"Georgia"	2917	3840	1379	3522	3055	2487	1405	2306	3025	2252	2290	3419	3580	2974	1648	3594	4435	3891	3669	3092	
"Barbados"	386	353	452	290	307	295	314	287	422	267	337	362	308	415	182	281	511	291	469	437	
"Madagascar"	253	204	195	275	95	185	113	390	174	189	204	124	145	313	247	105	298	166	222	86	
"Malawi"	360	294	187	237	214	248	227	247	366	299	274	357	341	259							
"Malaysia"	38071	37824	39852	30847	30509	19110	19667	31985	24738	30045	30954	30755	31458	30188	27038	26572	30936	32549	34609		
"Maldives"	872	1074	823	812	769	306	404	223	363	403	433	462									
"Malta"	2011	1041	1011	942	1501	543	707	992	1030	1879	1323	1205	1355	820	876	1111	1095	3286			
"Mauritania"			76	101	93	81	63	87	142	68	84	109	164	149							
"Mauritius"	2185	1405	940	1400	1072	615	1150	671	755	833	1533	1755	1437	2292	1320	1093	1644				
"Taipei, Chinese"	76043	78190	54001	91307	66212	55231	52862	61871	74808	83660	83841	71609	76697	80178	69784	70090	78215	68165	73390		
"Morocco"	7810	12610	9576	7981	8500	4371	4203	3071	6247	9170	8379	7442	9604	9464							
"Mozambique"	186	172	151	99	194	77	208	225	183	197	270	295	253	256							
"Namibia"	3334	2960	2537	2514	2292	1015	1759	2445	2453	2494	2654	3145	3195	3023	2295	2332	2718	2374	2578		
"Netherlands"	94600	87260	91310	87180	88256	70855	67105	86560	91959	93535	94846	107471	100125	109374	87738	91447	120882	114633			
"Curaçao"	504	451	385	491	672	334	270	491	472	548	398	649	436	532							
"Aruba"	752	477	360	657	612	245	148	271													
"Indonesia"	29040	27540	33191	23055	28064	20063	12752	15644	15211	19305	20830	17917	24080	27021	21609						
